respondent_id,study_plan,focus_time,assignment_pace,sleep_duration,sleep_consistency,restedness,deadline_pressure,test_anxiety,overload,gpa_proxy,exam_score,project_score
208.0,3.618,3.972,3.678,5.206,4.778,4.586,4.327,5.226,5.314,4.993,4.37,3.189
209.0,3.15,2.74,2.813,3.65,2.937,2.684,4.178,3.043,3.19,3.441,3.0,3.966
210.0,5.267,4.849,5.778,4.465,3.619,4.378,3.422,3.372,3.722,4.499,5.828,4.838
211.0,3.588,3.358,3.89,4.787,4.985,5.231,3.665,1.985,2.401,4.166,5.349,4.087
212.0,4.761,4.931,5.089,2.351,3.578,2.603,3.695,4.048,3.454,2.803,3.24,3.557
213.0,3.857,4.224,4.567,4.431,3.504,3.971,3.761,3.629,4.636,3.088,4.248,3.532
214.0,4.231,4.573,3.945,5.346,5.643,5.784,3.518,4.618,3.468,6.09,5.88,4.836
215.0,5.186,4.5,4.932,3.851,4.142,4.259,2.993,4.08,4.303,4.246,3.958,3.579
216.0,4.667,4.304,4.155,3.034,3.642,3.589,2.321,2.705,1.974,5.417,4.805,5.106
217.0,3.943,5.15,4.044,5.434,5.096,4.312,4.483,4.775,2.766,5.085,4.786,4.141
218.0,4.179,3.073,3.655,2.369,2.648,1.944,4.535,4.301,4.481,4.166,5.065,5.167
219.0,4.117,4.58,4.091,5.409,5.48,4.676,3.948,5.231,4.657,4.489,2.752,3.286
220.0,3.699,3.442,3.347,3.487,4.306,3.603,3.576,3.896,3.213,3.81,4.275,3.505
221.0,3.773,4.362,2.163,3.767,3.54,4.417,4.905,3.761,4.045,4.116,4.002,3.448
222.0,4.133,3.897,4.493,3.426,3.25,3.341,4.003,4.016,4.518,4.776,4.061,4.077
223.0,3.948,4.781,3.037,2.509,2.907,3.143,4.452,4.738,4.09,3.078,2.816,2.84
224.0,4.991,3.911,4.57,4.467,4.767,3.972,3.246,2.753,2.729,5.601,5.875,4.701
225.0,4.549,4.395,4.368,4.308,2.855,3.504,3.165,2.406,3.304,6.188,5.347,5.923
226.0,4.525,5.475,4.064,3.949,3.521,4.624,5.213,5.061,4.856,3.305,2.66,3.536
227.0,4.284,4.124,4.533,5.053,4.762,4.449,3.428,4.195,3.078,4.204,4.592,5.0
228.0,4.118,3.987,4.152,4.296,2.53,3.613,4.258,3.767,3.512,3.433,3.509,3.064
229.0,3.592,3.694,4.315,4.057,5.366,3.909,4.32,4.483,4.149,5.57,4.331,4.618
230.0,3.651,3.434,4.429,2.51,1.659,2.891,3.07,4.691,3.203,3.443,2.666,3.311
231.0,4.329,4.931,5.666,2.59,2.512,2.371,3.141,3.765,4.547,5.473,5.108,5.528
232.0,4.621,4.694,5.475,4.921,5.384,4.721,3.87,2.04,3.974,5.768,3.806,5.076
233.0,5.595,4.284,4.289,5.352,5.34,6.024,4.703,3.846,4.438,4.65,5.29,5.263
234.0,4.141,2.918,3.657,4.691,4.248,4.754,3.373,4.321,4.689,4.604,4.436,4.391
235.0,4.0,4.208,4.861,5.519,5.692,6.41,4.348,4.824,3.124,3.757,3.781,3.814
236.0,4.944,4.253,4.492,5.015,4.917,4.021,4.281,3.985,3.642,3.883,4.197,3.83
237.0,3.858,3.455,3.598,5.144,4.103,4.782,3.016,2.912,3.413,4.976,4.87,5.85
238.0,4.82,4.354,4.151,3.691,3.779,5.011,2.833,2.768,2.947,4.035,3.862,4.07
239.0,3.781,3.184,3.457,4.827,5.156,5.578,4.278,3.174,3.932,5.147,4.971,4.554
240.0,2.971,2.734,2.935,4.579,4.14,4.896,2.262,2.753,3.26,2.437,2.397,4.198
241.0,3.315,3.059,2.138,3.64,3.159,4.116,5.38,5.314,3.811,1.379,2.23,3.113
242.0,3.672,3.814,3.015,3.416,3.749,2.849,5.335,5.298,5.31,2.502,2.583,3.254
243.0,2.555,2.619,3.38,2.313,2.522,2.882,5.398,4.639,4.094,2.374,2.025,2.267
244.0,3.377,2.86,3.9,4.06,4.2,4.513,3.163,2.202,2.137,4.8,4.932,5.335
245.0,3.397,2.632,3.184,3.614,3.97,3.819,4.279,4.363,4.029,1.847,1.343,2.664
246.0,4.779,5.054,3.564,3.057,3.469,3.052,3.952,4.603,4.656,3.535,4.002,3.184
247.0,3.75,3.059,3.711,3.704,3.033,4.978,4.267,3.569,3.742,3.25,4.51,3.142
248.0,5.27,5.379,5.808,4.877,5.43,5.5,3.632,3.099,3.587,5.715,4.414,5.836
249.0,3.851,3.95,4.073,4.21,4.016,4.668,3.49,4.094,3.009,4.771,4.517,4.408
250.0,4.352,4.339,4.071,3.815,4.074,4.236,3.341,2.612,3.824,4.843,4.424,5.788
